term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
314-05-07,stabilized load characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-05-07,تشغيل على التوالي,"stabilisierte Lastkennlinie, f",stabilized load characteristic,característica de carga estabilizada,stabiloitu kuormituskäyrä,"caractéristique de charge stabilisée, f",caratteristica di carico stabilizzata,安定化負荷特性,안정화 부하 특성,stabilizowana charakterystyka obciążenia,característica de carga estabilizada,стабилизированная характеристика нагрузки,"стабилисана карактеристика оптерећења, ж јд",stabiliserad belastningskarakteristik,稳定负载特性
314-05-08,crossover of load characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-05-08,خواص حمل مستقر,"Lastkennlinienumschaltung, f",crossover of load characteristic,transición de característica de carga,kuormituskäyrän vaihtuminen,"transition de caractéristique de charge, f",transizione della caratteristica di caricotransizione tra caratteristice di carico,負荷特性の切換,부하특성 절환,zmiana charakterystyk obciążenia,transição de característica de carga,переход характеристики нагрузки,"прелаз карактеристике оптерећења, м јд",övergång i belastningskarakteristik,负载特性的交迭
314-05-09,constant voltage to constant current crossover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-05-09,تحول خواص الحمل,"Konstantspannung-Konstantstrom-Kennlinienumschaltung, f",constant voltage to constant current crossover,transición de tensión constante a intensidad constante,vakiojännitteestä vakiovirtaan siirtyminen,"transition tension constante à courant constant, f",transizione da tensione costante a corrente costante,定電圧から定電流への自動切換,정전압 정전류 절환,przejście ze stabilizacji napięcia na stabilizację prądu,transição de tensão constante para corrente constante,переход от постоянного напряжения к постоянному току,"прелаз са константног напона на константну струју, м јд",konstant spänning/konstant ström-övergång,恒压到恒流的交迭
314-06-01,deflection coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-01,خاصية التحول  من جهد ثابت إلى  تيار ثابت,"Ablenkkoeffizient, m",deflection coefficient,coeficiente de desviación,poikkeutuskerroin,"coefficient de déviation, m",coefficiente di deflessione,偏向係数,편향 계수,współczynnik odchylania,coeficiente de deflexão,масштаб отклонения,"коефицијент скретања, м јд",avlänkningsfaktor,偏转系数
314-06-02,time base,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-02,معامل انحراف,"Zeitbasis, f",time base,base de tiempos,aikapoikkeutin,"base de temps, f",base dei tempi,時間軸,시간축,podstawa czasu,base de tempo,генератор развертки,"временска база, ж јд",tidbaskrets,时基
314-06-03,sweep,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-03,قاعدة زمنية,"Zeitablenkung, f",sweep,barrido,pyyhkäisy,"balayage, m",deflessione,掃引,스캔소인,rozciąg,varrimento,развертка,"пребрисавање, с јд",svep,扫描
314-06-04,free-running time base,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-04,مسح ضوئي,"freilaufende Zeitbasis, f",free-running time base,base de tiempos libre,vapaasti pyyhkäisevä aikapoikkeutin,"base de temps relaxée, f",base dei tempi libera,自由掃引時間軸,무동조 시간축프리런닝 시간축,samobieżna podstawa czasu,base de tempo livre,генератор развертки в режиме свободных колебаний,"самоосцилујућа временска база, ж јд",frisvängande tidbas,自激时基
314-06-05,triggered time base,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-05,قاعدة زمنية حرة الحركة,"getriggerte Zeitbasis, f",triggered time base,base de tiempos por diaparo,laukaistava aikapoikkeutin,"base de temps déclenchée, f",base dei tempi innescatabase dei tempi armata/abilitata ???,トリガ掃引時間軸,트리거 시간축,wyzwalana podstawa czasu,base de tempo disparada,ждущий генератор развертки,"окидна временска база, ж јд",triggad tidbas,触发时基
314-06-06,trigger hold off,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-06,قاعدة زمنية بقادح,"Triggersperre, f",trigger hold off,bloqueo de disparo,laukaisunestopiiri,"(dispositif de) blocage du déclenchement, m",(dispositivo di) blocco dell'innesco,トリガ・ホールドオフ,트리거 억제,układ podtrzymania,(dispositivo de) bloqueio de disparo,задержка запуска,"блокада окидања, ж јд",trigghållkrets,触发释抑
314-06-07,single sweep operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-06-07,منع إعادة القدح,"einmalige Zeitablenkung, f",single sweep operation,funcionamiento en barrido único,kertapyyhkäisytoiminta,"fonctionnement en balayage unique, m",funzionamento a defessione singola,単掃引動作,단일 스위프 작동단일 소인 작동,rozciąg pojedynczy,funcionamento em varrimento únicofuncionamento em varrimento simples,однократная развертка,"рад са појединачним пребрисавањем, м јд",engångssvepfunktion,单次扫描
