term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
712-02-21,co-polar pattern (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-21,نمط متحد القطب لهوائي,"Kopolarisationsdiagramm, <einer Antenne> nNutzpolarisationsdiagramm, <einer Antenne> n",co-polar pattern (of an antenna),diagrama copolar (de una antena),pääpolarisaatiokuvio,diagramme copolaire (d'une antenne) m,diagramma di polarizzazione direttadiagramma co-polare,共通極性パターン,"동 편파 유형, <안테나>동극 유형, <안테나>",polaryzacyjna charakterystyka promieniowania (anteny),diagrama co-polar (de uma antena),kopolarna karakteristika antene,kopolarisationsdiagram,"同极化方向图, <天线的>"
712-02-22,cross-polar pattern (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-22,نمط متقاطع القطب (للهوائىِ),"Kreuzpolarisationsdiagramm, <einer Antenne> n",cross-polar pattern (of an antenna),diagrama contrapolar (de una antena),ristipolarisaatiokuvio,diagramme contrapolaire (d'une antenne) m,diagramma di polarizzazione incrociatadiagramma cross-polare,交差極性パターン,"교차 편파 유형, <안테나>교차극 유형, <안테나>",ortogonalna charakterystyka promieniowania (anteny),diagrama contra-polar (de uma antena),prečna polarizacija antene,korspolarisationsdiagram,"交叉极化方向图, <天线的>"
712-02-23,radiation lobe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-23,نتوء إشعاع,"Strahlungskeule, f",radiation lobe,lóbulo de radiación,keila,"lobe (de rayonnement), m",lobo d'irradiazione,放射ローブ,방사 돌출부방사로브,listek promieniowania,lóbulo (de radiação),sevalni list,strålningslob,辐射瓣
712-02-24,major lobe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-24,نتوء رئيسي,"Hauptkeule, f",major lobemain lobe,lóbulo mayorlóbulo principal,pääkeila,"lobe principal, m",lobo principale,主ローブ,주 돌출부주 로브,listek główny,lóbulo principal,glavni list,huvudlob,主瓣
712-02-25,secondary lobe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-25,نتوء ثانوي,"Nebenkeule, fNebenzipfel, m",secondary lobeminor lobe,lóbulo menorlóbulo secundario,…..,"lobe secondaire, m",lobo secondario,二次ローブ,이차 돌출부소 돌출부소 로브,listek drugorzędny,lóbulo secundário,stranski list,bilob,副瓣
712-02-26,back lobe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-26,نتوء خلفي,"Rückkeule, fRückwärtsstrahlung, f",back lobe,lóbulo posterior,takakeila,"lobe arrière, m",lobo posteriore,後方ローブ,후방 로브후방 돌출부,listek promieniowania wstecznego,lóbulo posterior,hrbtni list,baklob,背瓣
712-02-27,side lobe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-27,نتوء جانبي,"Seitenkeule, fSeitenzipfel, m",side lobe,lóbulo lateral,sivukeila,"lobe latéral, m",lobo laterale,副ローブ,부 돌출부,listek boczny,lóbulo lateral,bočni list,sidlob,旁瓣
712-02-28,(relative) side lobe level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-28,مستوى نتوء جانبي (نسبي),"relativer Seitenkeulenpegel, mSeitenkeulenpegel, mrelativer Seitenzipfelpegel, mSeitenzipfelpegel, m",(relative) side lobe level,nivel de lóbulos laterales (relativo),sivukeilataso,"amplitude (relative) d'un lobe latéral, f",livello (relativo) del lobo secondariolivello (relativo) del lobo laterale,（相対）副ローブレベル,상대 부 돌출부상대 사이드 로브,poziom względny listka bocznego poziom listka bocznego,amplitude (relativa) de um lóbulo lateral,(relativni) nivo bočnega lista,sidlobsnivå,相关旁瓣电平
712-02-29,side lobe suppression,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-29,كبح النتوء الجانبي,"Seitenkeulenunterdrückung, fSeitenzipfelunterdrückung, f",side lobe suppression,supresión de lóbulo lateral,sivukeilojen vaimentaminen,"réduction des lobes secondaires, f",riduzione dei lobi secondaririduzione dei lobi laterali,副ローブ抑圧,부 돌출부 억압,tłumienie listka bocznego,redução dos lóbulos secundários,potlačitev bočnih listov,sidlobsundertryckning,旁瓣抑制
712-02-30,(main) beam (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-30,حزمة (الهوائي الرئيسية),"Strahl, <einer Richtantenne> mHauptstrahl, <einer Richtantenne> m",(main) beam (of an antenna),haz (principal) (de una antena),pääkeila,faisceau (d'une antenne) m,fascio principale,主ビーム,"주 빔, <안테나>",wiązka główna (antenowa) wiązka (antenowa),feixe (principal) (de uma antena),(glavni) snop antene,huvudlob,"主波束, <天线的>主射束"
