term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
471-01-11,insulator trunk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-11,جذع العازل,"Strunk eines Isolators, m",insulator trunk,cuerpo (de un aislador),"fût d’un isolateur, m",Tronco dell’isolatore,がいし胴部,애자 동체애자 트렁크,тусгаарлагчийн их бие,,pień izolatora,fuste de um isolador,,,isolatorliv,绝缘子主体
471-01-12,mechanical failing load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-12,تفريغ سطحي لعازل,"mechanische Bruchkraft, f",mechanical failing load,carga de rotura mecánica,"charge de rupture mécanique, f",Carico di rottura meccanico,破壊荷重,기계적 결함 부하,механик эвдрэл үүсгэх ачаалал,brotlast,obciążenie mechaniczne niszczące,carga de ruptura mecânica,,,mekanisk brottlast,机械破坏负荷
471-01-13,polymeric insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-13,عازل بوليمر(راتنجى),"Polymerisolator, m",polymeric insulator,aislador polimérico,"isolateur polymérique, m",Isolatore polimerico,ポリマーがいし,중합 애자폴리머 애자,полимер тусгаарлагч,polymer isolator,izolator polimerowy,isolador polimérico,,,polymerisolator,聚合物绝缘子
471-01-14,puncture (of an insulator),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-14,عازل متعدد العناصر,"Durchschlag (eines Isolators), m",puncture (of an insulator),perforación (de un aislador),perforation (d’un isolateur) f,Perforazione (di un isolatore),"がいしの貫通破壊貫通破壊, <がいしの>","관통, <애자>구멍, <애자>","цооролт, <тусгаарлагчийн>",gjennomslag,przebicie  (izolatora),perfuração (de um isolador),preboj (izolatorja),,genomslagpunktering,"击穿, <绝缘子的>"
471-01-15,shed (of an insulator),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-15,عازل مضاد للتلوث,"Schirm (eines Isolators), m",shed (of an insulator),aleta (de un aislador),ailette (d’un isolateur) f,Aletta (di un isolatore),"がいしの笠笠, <がいしの>","부하차단, <애자>차단, <애자>","ирмэг хормой, <тусгаарлагчийн>",isolatorskjerm,klosz izolatora,aba de um isolador,rebro (izolatorja),,isolatorskärm,"伞, <绝缘子的>"
471-01-16,unified specific creepage distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-16,عازل مستقر,"vereinheitlichter spezifischer Kriechweg, m",unified specific creepage distance,linea de fuga específica unificada,"ligne de fuite spécifique unifiée, f",Linea di fuga specifica unificata,運転電圧1kV当たりの所要表面漏れ距離,미정재 지정 옆면 거리유에스시디통일된 특정 옆면 거리,гадаргуугийн цахилалтын замын нийцүүлсэн онцлог урт,,droga upływu jednostkowa,linha de fuga específica unificada,,,"krypsträcka, fas-jord",统一爬电比距
471-01-17,glaze,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-17,مْسحَة زجاجية أو طبقة مزججـة,"Glasur, f",glaze,esmalte,"émail, m",Smalto,うわぐすり,광택제,паалан,glasur,szkliwo,vidrado,glazura,,glasyr,釉
471-01-18,semiconducting glaze,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-18,عازل مركب,"halbleitende Glasur, f",semiconducting glaze,esmalte semiconductor,"émail semi-conducteur, m",Smalto semiconduttore,導電釉,반도전 광택제,хагас дамжуулагч паалан,halvleiande glasur,szkliwo półprzewodzące,vidrado semicondutor,polprevodna glazura,,halvledande glasyr,半导电釉
471-01-19,protected creepage distance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-19,تقوس العازل,"geschützter Kriechweg, m",protected creepage distance,línea de fuga protegida,"ligne de fuite protégée, f",Linea di fuga protetta,遮へい部表面漏れ距離,보호 연면 거리,гадаргуугийн цахилалтын замын хамгаалагдсан урт,verna krypestraumslengd,droga upływu chroniona,linha de fuga protegida,zaščitena plazilna razdalja,,skyddad krypsträcka,保护爬电距离
471-01-20,spacing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-20,إنحراف تحت حمل الانحناء,"Abstand, m",spacing,paso,"espacement, m",Passo,スペーシング,간격,хоорондын зайг тааруулах,modulavstand,"odstęp równoważny, modstęp złożony, m",espaçamento,korak (izolatorja),"растојање, с јд",delning,间距
471-01-21,solid-core insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-21,عازل ذو قلب مصمت,"Vollkernisolator, m",solid-core insulator,aislador de núcleo macizo,"isolateur à fût massif, m",Isolatore a nucleo pieno,中実がいし,고체 코아 애자,хатуу дотор талтай тусгаарлагч,massiv isolator,izolator pełnopniowy,isolador de fuste maciço,izolator z masivnim jedrom,,massiv isolator,实心绝缘子
471-01-22,multi-element insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-22,زجاج ملدن,"mehrteilig zusammengesetzter Isolator, m",multi-element insulator,aislador de elementos múltiples,"isolateur à éléments multiples, m",Isolatore a più elementi,多段がいし,다중 요소 애자,олон төрлийн элементтэй тусгаарлагч,isolator av samansette element,izolator wieloczęściowy,isolador de elementos múltiplos,členkasti izolator,,isolator av flera elementflerisolantisolator,多元件绝缘子
471-01-23,antipollution-type insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-23,عازل مقاوم للتلوث,"Isolator für schwere Verschmutzung, m",antipollution-type insulator,aislador anticontaminación,"isolateur de type antipollution, m",Isolatore di tipo antinquinamento,耐塩がいし,내염애자,орчны бохирдлоос хамгаалагдсан тусгаарлагч,isolator for forureina miljø,izolator przeciwzabrudzeniowy,isolador (de tipo) antipoluição,proti onesnaženju odporni izolator,,isolator med förlängd krypsträcka,耐污型绝缘子
471-01-24,toughened glass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-24,زجاج مقسى,"vorgespanntes Glas, n",toughened glass,vidrio templad,"verre trempé, m",Vetro temperato,強化ガラス,강화 유리인성 유리,бэхжүүлсэн шил,herda glas,szkło hartowane,vidro temperado,prednapeto steklo,,härdat glas,钢化玻璃
471-01-25,annealed glass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-25,زجاج لَـدن,"nichtvorgespanntes Glas, n",annealed glass,vidrio recocido,"verre recuit, m",Vetro ricotto,アニールガラス,담금질 유리,хатаасан шил,"avherda glas, spenningsfritt glas",szkło odprężane,vidro recozido,žarjeno steklo,,avhärdat glas,退火玻璃
471-01-26,camber (of an insulator),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-01-26,تقوس أو أحديداب,"Durchbiegung (eines Isolators), f",camber (of an insulator),flecha (de un aislador),flèche propre (d’un isolateur) f,Freccia in assenza di carico (di un isolatore),曲がり,"캠버, <애자>","гүдийлтийн зай, <тусгаарлагчийн>",,skrzywienie izolatora,empeno de um isoladorflecha própria de um isolador,lastni uklon (izolatorja),,excentricitet,"弯曲度, <绝缘子的>"
