term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sr,sv,zh
312-06-12,differential input circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-12,خرج متناظر,"Differenzeingang, m",differential input circuit,circuito de entrada diferencial,differentiaalinen tulo,"circuit d'entrée différentiel, m",circuito di ingresso differenziale,差動入力回路,차동입력 회로,ялгаварт дифференциал оролтын хэлхээ,obwód wejściowy różnicowy,circuito de entrada diferencial,дифференциальная входная цепь,"диференцијално улазно коло, с јд",differensingång,差分输入电路
312-06-13,earthed input circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-13,دارة دخل تفاضلية,"geerdeter Eingang, m",earthed input circuitgrounded input  (US)single-ended input,circuito de entrada unido a tierra,maadoitettu tulo,"circuit d'entrée relié à la terre, m",circuito d'ingresso collegato a terra,不平衡入力接地入力,접지입력접지입력 회로,газардуулга бүхий оролтын хэлхээгазардуулсан оролтнэг төгсгөлтэй оролт,obwód wejściowy uziemiony,circuito de entrada ligado à terra,заземленная входная цепьзаземленный вход,"уземљено улазно коло, с јдуземљени улаз, м јд",jordad ingång,接地输入电路单端输入
312-06-14,earthed output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-14,دارة دخل مؤرضة,"geerdeter Ausgang, m",earthed output circuitgrounded output  (US)single-ended output,circuito de salida unido a tierra,maadoitettu lähtö,"circuit de sortie relié à la terre, m",circuito di uscita collegato a terra,不平衡出力接地出力,접지 출력,газардуулга бүхий гаралтын хэлхээгазардуулсан гаралтнэг төгсгөлтэй гаралт,obwód wyjściowy uziemiony,circuito de saída ligado à terra,заземленная выходная цепьзаземленный выход,"уземљено излазно коло, с јдуземљени излаз, м јд",jordad utgång,接地输出电路单端输出
312-06-15,floating input circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-15,دارة خرج مؤرضة,"erdfreier Eingang, m",floating input circuit,circuito de entrada flotante,kelluva tulo,"circuit d'entrée flottant, m",circuito d'ingresso flottante,フローテイング入力回路,플로팅 입력 회로유동 입력 회로,тусгаарлагдсан оролтын хэлхээ,obwód wejściowy nieuziemionyobwód wejściowy pływający,circuito de entrada flutuante,"входная цепь, изолированная от цепи заземления","лебдеће улазно коло, с јдлебдећи улаз, м јд",flytande ingång,浮置输入电路
312-06-16,floating output circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-16,دارة دخل معزولة كلياً,"erdfreier Ausgang, m",floating output circuit,circuito de salida flotante,kelluva lähtö,"circuit de sortie flottant, m",circuito di uscita flottante,フローテイング出力回路,플로팅 출력 회로유동 출력 회로,тусгаарлагдсан гаралтын хэлхээ,obwód wyjściowy nieuziemionyobwód wyjściowy pływający,circuito de saída flutuante,"выходная цепь, изолированная от цепи заземления","лебдеће излазно коло, с јдлебдећи излаз, м јд",flytande utgång,浮置输出电路
312-06-17,input and output circuits with isolated common point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-17,دارة خرج معزولة كلياً,"Eingang und Ausgang mit isoliertem gemeinsamen Punkt, m",input and output circuits with isolated common point,circuitos de entrada y salida con punto común aislado,…..,"circuits d'entrée et de sortie à point commun isolé, m pl",circuiti di ingresso e di uscita con punto comune isolato,フローテイング入力出力回路,격리된 공통점의 입력출력 회로,тусгаарлагдсан ерөнхий цэгтэй оролт болон гаралтын хэлхээ,obwód wejściowy i wyjściowy o wspólnym punkcie izolowanym,circuitos de entrada e de saída com ponto comum isolado,входные и выходные цепи с изолированной общей точкой,"улазно и излазно коло са изолованом заједничком тачком, с јд",in- och utgång med isolerad gemensam anslutning,有隔离公共点的输入和输出电路
312-06-18,input impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-18,دارات دخل وخرج  بنقطة معزولة مشتركة,"Eingangsimpedanz, f",input impedance,impedancia de entrada,tuloimpedanssi,"impédance du circuit d'entrée, f",impedenza d'ingresso,入力インピーダンス,입력 임피던스,оролтын бүрэн эсэргүүцэл,impedancja obwodu wejściowego,impedância do circuito de entrada,входное полное сопротивление,"улазна импеданса, ж јд",inimpedans,输入阻抗
312-06-19,output impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-19,ممانعة دخل,"Ausgangsimpedanz, f",output impedance,impedancia de salida,lähtöimpedanssi,"impédance du circuit de sortie, f",impedenza di uscita,出力インピーダンス,출력 임피던스,гаралтын бүрэн эсэргүүцэл,impedancja obwodu wyjściowego,impedância do circuito de saída,выходное полное сопротивление,"излазна импеданса, ж јд",utimpedans,输出阻抗
312-06-20,impedance to earth,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-20,ممانعة خرج,"Impedanz gegen Bezugserde, f",impedance to earthimpedance to ground (US),impedancia respecto a tierra,maadoitusimpedanssi,"impédance de mise à la terre, f",impedenza verso terra,接地インピーダンス,접지 임피던스,газардуулгын бүрэн эсэргүүцэл,impedancja do ziemi,impedância em relação à terra,полное сопротивление относительно земли,"импеданса према земљи, ж јд",impedans till jord,对地阻抗
312-06-21,common mode rejection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-21,الممانعة إلى الأرضي,"Gleichtaktunterdrückungsverhältnis, n",common mode rejection ratioCMRR (abbreviation),factor de rechazo en modo común,yhteismuotoinen vaimennussuhde,"rapport de réjection de mode commun, m",fattore di reiezione di modo comune,"コモンモード除去比CMRR, （略語）",동통모드 제거비,ерөнхий хэлбэрийнбууруулах коэффициентCMRR,współczynnik tłumienia zakłóceń wspólnychCMRR (akronim),razão de rejeição de modo comum,коэффициент подавления общего вида,"фактор потискивања асиметричне сметње, м јдCMRR",gemensammodundertryckning,共模抑制比CMRR
312-06-22,series mode rejection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-06-22,نسبة الرفض لنمط مشترك,"Serientaktunterdrückungsverhältnis, n",series mode rejection ratioSMRR (abbreviation),factor de rechazo en modo serie,sarjamuotoinen vaimennussuhde,"rapport de réjection de mode série, m",fattore di reiezione di modo differenziale,"シリーズモード除去比SMRR, （略語）",직렬 모드 제거비,цуваа нөлөөллийн бууруулах коэффициентSMRR,współczynnik tłumienia zakłóceń szeregowychSMRR (akronim),razão de rejeição de modo série,коэффициент подавления при последовательном включении,"фактор потискивања серијске сметње, м јдSMRR",seriemodundertryckning,串模抑制比SMRR
312-07-01,periodic and/or random deviation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-07-01,نسبة الرفض لنمط  تسلسلي,"periodische oder zufällige Abweichung, f",periodic and/or random deviationPARD (abbreviation),desviaciones periódicas y/o erráticas,jaksollinen poikkeamasatunnainen poikkeama,"déviations périodiques et/ou erratiques, f pl",deviazione periodica e/o casuale,"周期的あるいは不規則変動PARD, （略語）",주기적/불규칙 편차,хугацааны давталттай болон/эсвэл тохиолдлын хазайлтPARD,odchylenie okresowe lub losowePARD (akronim),desvios periódicos e/ou aleatórios,периодические и (или) случайные отклонения,"периодична и/или случајна одступања, с мнPARD",periodisk och/eller slumpmässig avvikelse,周期和/或随机偏移PARD
312-07-02,ripple,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-07-02,إنحراف دوري و/أو عشوائي,"Welligkeit, f",ripple,rizado,aaltoisuus,"ondulation, f",ondulazione,脈動,맥동리플,лугшилт,tętnienie,ondulação,пульсация,"таласност, ж јд",rippelvågighet,纹波
312-07-03,hum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-07-03,تموج,"Brumm, m",hum,zumbido,hurina,"ronflement, m",rumore a bassa frequenza,ハム,험,фон,przydźwięk,ronco,фон,"брујање, с јд",brum,交流声
312-07-04,noise (for a measuring instrument),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-07-04,طنين,"Rauschen (bei einem Messgerät), n",noise (for a measuring instrument),ruido (para un instrumento de medida),kohina,bruit (pour un appareil de mesure) m,rumore,"ノイズ, <測定器の>雑音","잡음, 계측기소음, 계측기","шуугиан, <хэмжих хэрэгслийн хувьд>",szum,ruído (para um instrumento de medição),шумы (для измерительного прибора),"шум, <мерног инструмента> м јд",brus,"噪声, <关于测量仪表>"
312-07-05,fluctuations,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-07-05,ضوضاء (ضجيج) (لجهاز قياس),"Schwankungen, f, plFluktuationen, f, pl",fluctuations,fluctuaciones,huojunta,"fluctuations, f pl",fluttuazioni,ゆらぎ変動,변동,хэлбэлзэл,fluktuacja,flutuações,флуктуация,"флуктуације, ж мн",fluktuationer,波动
312-07-06,reliability (performance),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=312-07-06,تأرجح,"Funktionsfähigkeit, f",reliability (performance),fiabilidad,luotettavuus,"fiabilité, f",affidabilità (prestazioni),信頼性,신뢰성,"найдваржилт, <техникийн тодорхойлолтын>",niezawodność,fiabilidade,надёжность (в работе),"поузданост  , <перформанси> ж јд",funktionssäkerhet,可靠性
